id,count
0,90.46
1,213.34
2,69.74
4,29.3
5,75.49
10,126.8
11,179.19
12,308.99
15,35.29
17,120.74
18,302.13
23,246.21
25,93.24
26,38.88
31,202.33
39,162.91
40,27.52
41,177.52
42,363.26
43,159.9
51,220.89
52,82.41
54,15.59
60,137.72
61,139.17
62,115.32
63,29.24
65,117.36
66,107.34
68,157.06
71,71.25
80,31.85
82,70.78
94,129.33
98,285.21
101,33.43
102,136.94
107,86.66
112,236.47
113,69.69
115,50.35
116,121.69
120,164.4
121,92.14
122,331.98
132,191.57
143,84.81
147,63.63
150,19.14
151,90.91
152,236.81
153,94.46
155,163.91
156,66.98
159,188.04
161,138.89
163,45.61
177,171.34
186,12.49
188,18.25
190,89.85
191,83.7
192,262.65
195,312.17
200,142.93
209,314.22
210,15.82
211,236.4
214,140.85
215,26.73
218,100.59
219,31.59
222,133.48
225,14.7
228,322.2
236,211.69
241,36.11
242,185.81
243,229.85
245,19.34
247,240.78
251,133.07
252,90.92
253,84.4
254,90.22
258,327.74
260,53.04
261,160.41
265,115.69
266,280.57
267,298.65
269,156.02
270,71.94
275,99.18
278,35.83
279,78.78
286,95.07
287,28.99
288,195.87
289,145.34
293,17.88
294,157.27
297,40.06
302,119.61
303,55.79
304,78.45
307,102.44
309,17.37
311,174.53
312,114.96
314,180.72
315,228.95
319,168.24
322,120.77
323,69.1
325,125.72
327,237.79
330,36.38
332,192.88
333,16.49
338,102.09
341,102.43
345,186.78
348,129.45
349,45.01
350,114.13
352,50.65
355,14.88
356,223.73
358,53.6
363,133.47
369,157.5
371,19.02
372,151.27
375,306.86
380,127.95
388,44.98
391,140.99
392,259.43
393,368.33
394,197.65
396,27.99
401,38.15
407,111.15
409,96.36
410,115.09
416,102.79
418,120.59
420,153.22
421,227.72
422,138.18
424,290.72
428,329.14
429,210.59
431,178.43
435,10.42
439,109.3
441,12.09
447,98.88
449,152.71
451,145.17
452,16.68
454,209.18
458,212.64
463,124.92
467,15.23
470,226.67
471,154.54
474,291.16
478,16.82
483,122.73
484,130.59
485,86.61
486,128.72
491,99.7
494,95.1
495,232.07
497,207.68
499,162.66
515,114.32
518,202.48
521,190.45
525,154.32
529,238.57
532,141.42
534,112.65
540,113.4
544,296.82
547,165.42
549,44.65
563,35.53
564,138.13
567,123.49
572,111.27
577,135.19
578,265.89
585,337.25
588,142.56
589,120.26
590,108.63
592,16.73
594,223.84
596,14.54
598,340.23
599,143.59
605,37.38
606,131.15
607,249.04
608,219.45
609,68.1
610,287.97
611,183.9
614,137.77
615,209.68
616,248.58
617,133.5
618,244.55
624,121.2
629,134.24
631,89.95
633,89.2
637,24.44
638,104.82
643,63.2
644,135.26
645,35.55
646,211.7
648,181.73
650,38.83
651,190.44
652,262.92
656,115.47
657,19.02
659,76.58
660,219.06
662,98.47
665,373.63
675,324.46
681,160.05
682,206.04
685,19.37
686,207.0
689,25.67
696,141.53
703,140.77
704,94.04
705,140.31
714,231.89
717,99.92
718,14.07
720,86.55
721,256.31
723,232.05
726,189.15
728,135.84
730,202.35
731,26.82
734,340.98
737,76.23
738,18.49
745,180.74
746,27.98
749,229.23
752,26.45
753,168.43
758,242.9
765,16.65
766,220.21
768,82.45
769,181.36
774,135.8
775,110.79
781,53.25
784,324.25
794,17.75
795,282.96
796,85.24
802,148.1
803,225.87
805,34.04
806,291.08
807,103.26
809,14.87
810,167.57
812,203.0
814,116.71
818,247.31
819,141.97
825,66.47
836,111.06
839,123.62
847,264.9
848,172.08
851,121.61
852,140.72
853,35.09
857,144.18
858,43.01
859,236.14
861,23.8
867,102.15
870,227.36
871,210.24
872,222.33
874,356.03
881,184.67
886,141.15
890,56.41
895,164.92
899,83.68
900,273.66
901,261.37
902,237.49
903,41.2
913,266.5
918,196.05
923,129.34
924,37.86
926,25.6
927,18.21
930,224.75
934,32.11
937,129.47
939,158.09
941,93.05
942,370.44
946,278.96
950,96.94
953,83.56
959,102.83
961,27.0
962,98.35
964,62.6
969,190.17
971,157.15
976,42.29
978,252.41
980,236.3
981,157.44
990,362.58
993,18.52
996,20.41
998,327.56
999,168.31
1006,121.26
1008,15.69
1013,31.9
1015,97.14
1016,118.31
1022,304.67
1026,216.33
1028,234.83
1031,63.85
1034,49.7
1037,189.62
1040,69.27
1042,18.72
1046,18.54
1048,98.49
1049,115.41
1050,71.61
1051,215.9
1052,231.13
1055,194.31
1060,157.16
1064,27.06
1066,72.63
1071,99.54
1073,13.87
1089,205.65
1091,90.67
1092,82.22
1093,219.99
1096,314.13
1097,231.05
1098,17.05
1099,38.25
1102,184.61
1107,99.78
1109,43.13
1111,127.52
1112,115.8
1114,307.56
1116,290.8
1117,115.86
1118,73.08
1122,147.43
1124,164.31
1127,120.84
1133,220.33
1134,37.22
1135,148.34
1139,300.51
1143,56.03
1150,116.51
1151,111.84
1153,268.99
1155,27.54
1162,27.02
1163,199.62
1166,20.06
1171,83.67
1172,16.35
1173,253.99
1174,74.05
1177,118.04
1178,150.92
1184,176.58
1185,110.11
1186,116.47
1187,147.14
1188,283.56
1191,142.08
1207,121.34
1213,44.94
1215,127.49
1223,171.19
1227,119.31
1236,56.24
1237,51.06
1238,17.64
1241,30.37
1248,15.73
1250,37.36
1251,166.3
1253,113.46
1255,97.75
1257,160.92
1261,121.53
1262,332.55
1265,131.42
1273,180.03
1277,267.2
1278,118.17
1280,113.48
1284,222.98
1285,336.74
1288,34.47
1295,117.57
1297,354.54
1299,257.26
1304,146.46
1308,44.69
1310,95.13
1311,116.42
1314,93.23
1315,113.1
1318,32.81
1320,331.03
1321,298.36
1322,242.61
1330,122.53
1333,169.33
1334,232.52
1341,139.73
1344,145.07
1351,250.19
1354,100.34
1356,52.25
1363,120.53
1365,195.02
1369,134.79
1373,112.72
1375,110.44
1377,82.27
1379,137.44
1380,280.14
1381,93.5
1384,174.99
1390,191.63
1393,240.15
1395,52.61
1399,334.15
1400,92.09
1401,174.0
1404,171.52
1408,12.95
1409,29.38
1413,229.43
1416,281.49
1418,102.56
1423,105.37
1424,27.45
1425,16.48
1433,242.42
1434,147.39
1436,333.22
1442,245.23
1444,87.65
1445,115.85
1452,235.69
1455,169.22
1462,73.21
1467,78.33
1472,43.11
1475,188.29
1493,118.16
1501,228.9
1503,290.73
1504,225.21
1505,15.03
1511,212.74
1512,50.49
1513,76.87
1514,37.25
1528,258.97
1533,246.13
1534,28.1
1536,149.32
1537,79.2
1539,205.18
1550,213.26
1552,207.98
1554,197.47
1555,358.29
1556,97.35
1559,36.11
1563,241.0
1566,152.8
1567,149.65
1568,28.52
1571,224.79
1572,16.95
1574,50.03
1577,17.03
1583,62.69
1585,31.18
1586,188.3
1587,186.4
1596,154.91
1602,38.41
1604,78.05
1605,34.41
1610,305.58
1611,92.62
1616,33.73
1617,98.15
1618,16.63
1622,43.21
1623,34.09
1628,309.17
1631,16.92
1632,184.65
1633,246.93
1634,316.58
1636,225.45
1637,101.67
1643,134.92
1644,104.83
1646,97.53
1648,203.78
1651,33.57
1656,18.49
1658,145.99
1659,16.75
1665,179.05
1666,143.07
1670,41.85
1674,167.92
1679,206.45
1680,214.25
1683,339.04
1686,28.11
1691,95.66
1693,35.87
1696,40.39
1697,98.94
1703,100.49
1706,28.37
1709,182.05
1710,86.06
1712,204.5
1713,125.96
1718,344.02
1719,165.06
1722,284.58
1723,133.85
1724,281.92
1728,68.88
1730,32.45
1732,27.98
1737,40.83
1745,84.26
1747,14.02
1748,12.48
1755,103.86
1759,17.06
1761,276.04
1764,228.99
1765,150.39
1766,87.83
1768,103.73
1770,29.75
1771,149.19
1774,98.61
1785,134.13
1788,184.12
1792,14.46
1794,229.59
1797,121.28
1798,13.89
1799,271.56
1802,102.64
1806,33.27
1808,82.57
1810,252.09
1818,116.17
1819,379.83
1820,284.71
1822,228.02
1826,220.56
1827,182.53
1835,17.29
1841,119.11
1842,143.9
1843,16.56
1846,45.64
1849,103.19
1850,200.84
1851,206.14
1857,53.08
1858,181.01
1860,96.87
1861,249.62
1864,112.69
1869,319.31
1871,73.04
1872,30.41
1875,16.64
1878,231.15
1879,241.29
1885,89.89
1888,114.54
1889,29.72
1890,94.68
1896,145.07
1897,174.19
1898,115.85
1900,104.64
1905,41.57
1908,117.64
1909,101.5
1913,72.58
1918,112.16
1922,325.41
1923,134.37
1925,273.84
1926,138.46
1927,305.4
1930,201.71
1935,62.15
1939,114.33
1942,94.37
1943,220.89
1948,257.18
1949,264.97
1951,109.46
1953,118.23
1959,134.63
1963,16.95
1967,132.61
1973,274.97
1975,26.93
1976,87.49
1990,121.03
1993,112.24
1997,199.18
1999,128.66
2001,303.36
2004,85.62
2010,102.16
2013,137.61
2017,310.12
2021,109.44
2023,150.95
2026,138.91
2037,32.5
2039,193.99
2041,17.77
2046,32.83
2050,18.34
2060,233.07
2067,102.1
2069,146.01
2072,247.7
